Date,AAPL,MSFT,TSLA
2023-06-02,178.61268615722656,328.3570556640625,213.97000122070312
2023-06-05,177.26039123535156,328.8857727050781,217.61000061035156
2023-06-06,176.8951873779297,326.6731872558594,221.30999755859375
2023-06-07,175.52316284179688,316.58941650390625,224.57000732421875
2023-06-08,178.2376251220703,318.4299621582031,234.86000061035156
2023-06-09,178.6226043701172,319.92791748046875,244.39999389648438
2023-06-12,181.416015625,324.8816223144531,249.8300018310547
2023-06-13,180.9421844482422,327.2703857421875,258.7099914550781
2023-06-14,181.57394409179688,330.25634765625,256.7900085449219
2023-06-15,183.60733032226562,340.7904357910156,255.89999389648438
2023-06-16,182.53140258789062,335.14154052734375,260.5400085449219
2023-06-20,182.62026977539062,330.9514465332031,274.45001220703125
2023-06-21,181.58384704589844,326.5556640625,259.4599914550781
2023-06-22,184.5845489501953,332.5765380859375,264.6099853515625
2023-06-23,184.26869201660156,327.9850158691406,256.6000061035156
2023-06-26,182.87689208984375,321.6999206542969,241.0500030517578
2023-06-27,185.63087463378906,327.5445251464844,250.2100067138672
2023-06-28,186.80551147460938,328.797607421875,256.239990234375
2023-06-29,187.14111328125,328.0143737792969,257.5
2023-06-30,191.4645538330078,333.3891296386719,261.7699890136719
2023-07-03,189.9740447998047,330.8927001953125,279.82000732421875
2023-07-05,188.858642578125,331.0492858886719,282.4800109863281
2023-07-06,189.3323974609375,334.1037902832031,276.5400085449219
2023-07-07,188.2169952392578,330.1388244628906,274.42999267578125
2023-07-10,186.1737518310547,324.8620300292969,269.6099853515625
2023-07-11,185.65061950683594,325.4885559082031,269.7900085449219
2023-07-12,187.3187713623047,330.1192626953125,271.989990234375
2023-07-13,188.07884216308594,335.4646301269531,277.8999938964844
2023-07-14,188.22691345214844,337.99041748046875,281.3800048828125
2023-07-17,191.48426818847656,338.4701232910156,290.3800048828125
2023-07-18,191.2276153564453,351.9411926269531,293.3399963378906
2023-07-19,192.57994079589844,347.62384033203125,291.260009765625
2023-07-20,190.6353759765625,339.586181640625,262.8999938964844
2023-07-21,189.46075439453125,336.55126953125,260.0199890136719
2023-07-24,190.26026916503906,337.8631896972656,269.05999755859375
2023-07-25,191.1190643310547,343.6098937988281,265.2799987792969
2023-07-26,191.98768615722656,330.6772766113281,264.3500061035156
2023-07-27,190.72421264648438,323.7752990722656,255.7100067138672
2023-07-28,193.3004913330078,331.2646789550781,266.44000244140625
2023-07-31,193.91250610351562,328.86614990234375,267.42999267578125
2023-08-01,193.0833282470703,329.2773742675781,261.07000732421875
2023-08-02,190.09249877929688,320.62298583984375,254.11000061035156
2023-08-03,188.70069885253906,319.8005676269531,259.32000732421875
2023-08-04,179.63926696777344,320.8970947265625,253.86000061035156
2023-08-07,176.5398712158203,323.17816162109375,251.4499969482422
2023-08-08,177.47756958007812,319.20343017578125,249.6999969482422
2023-08-09,175.88833618164062,315.4636535644531,242.19000244140625
2023-08-10,175.67120361328125,316.14886474609375,245.33999633789062
2023-08-11,175.73048400878906,314.26922607421875,242.64999389648438
2023-08-14,177.38119506835938,317.23565673828125,239.75999450683594
2023-08-15,175.39442443847656,315.1013488769531,232.9600067138672
2023-08-16,174.52464294433594,314.33612060546875,225.60000610351562
2023-08-17,171.9844207763672,310.88275146484375,219.22000122070312
2023-08-18,172.46876525878906,310.4903564453125,215.49000549316406
2023-08-21,173.8031005859375,315.78814697265625,231.27999877929688
2023-08-22,175.177001953125,316.357177734375,233.19000244140625
2023-08-23,179.02194213867188,320.8112487792969,236.86000061035156
2023-08-24,174.3368682861328,313.9142761230469,230.0399932861328
2023-08-25,176.54103088378906,316.8673400878906,238.58999633789062
2023-08-28,178.10272216796875,317.5736999511719,238.82000732421875
2023-08-29,181.9871826171875,322.194580078125,257.17999267578125
2023-08-30,185.47628784179688,322.5673828125,256.8999938964844
2023-08-31,185.6937255859375,321.5568542480469,258.0799865722656
2023-09-01,187.26531982421875,322.4398193359375,245.00999450683594
2023-09-05,187.50253295898438,327.23724365234375,256.489990234375
2023-09-06,180.79116821289062,326.5799865722656,251.9199981689453
2023-09-07,175.503173828125,323.6661682128906,251.49000549316406
2023-09-08,176.11599731445312,327.9436340332031,248.5
2023-09-11,177.2823028564453,331.5442199707031,273.5799865722656
2023-09-12,174.25778198242188,325.4909362792969,267.4800109863281
2023-09-13,172.19198608398438,329.69976806640625,271.29998779296875
2023-09-14,173.7042694091797,332.289794921875,276.0400085449219
2023-09-15,172.98269653320312,323.9703063964844,274.3900146484375
2023-09-18,175.90841674804688,322.8322448730469,265.2799987792969
2023-09-19,176.9956817626953,322.4300537109375,266.5
2023-09-20,173.45716857910156,314.69915771484375,262.5899963378906
2023-09-21,171.9152069091797,313.48260498046875,255.6999969482422
2023-09-22,172.7652587890625,311.0103759765625,244.8800048828125
2023-09-25,174.04029846191406,311.5303039550781,246.99000549316406
2023-09-26,169.96804809570312,306.23248291015625,244.1199951171875
2023-09-27,168.4557647705078,306.8702087402344,240.5
2023-09-28,168.71275329589844,307.7040710449219,246.3800048828125
2023-09-29,169.2267303466797,309.774169921875,250.22000122070312
2023-10-02,171.73727416992188,315.70965576171875,251.60000610351562
2023-10-03,170.4029083251953,307.45880126953125,246.52999877929688
2023-10-04,171.64834594726562,312.9234313964844,261.1600036621094
2023-10-05,172.88385009765625,313.3158264160156,260.04998779296875
2023-10-06,175.43397521972656,321.06640625,260.5299987792969
2023-10-09,176.91661071777344,323.5778503417969,259.6700134277344
2023-10-10,176.32354736328125,322.17498779296875,263.6199951171875
2023-10-11,177.7172088623047,326.128662109375,262.989990234375
2023-10-12,178.61669921875,324.8924865722656,258.8699951171875
2023-10-13,176.77825927734375,321.52740478515625,251.1199951171875
2023-10-16,176.6497344970703,326.344482421875,253.9199981689453
2023-10-17,175.0979461669922,325.77545166015625,254.85000610351562
2023-10-18,173.8031005859375,323.86236572265625,242.67999267578125
2023-10-19,173.42750549316406,325.04949951171875,220.11000061035156
2023-10-20,170.87738037109375,320.4875183105469,211.99000549316406
2023-10-23,170.99600219726562,323.0873718261719,212.0800018310547
2023-10-24,171.43089294433594,324.2744140625,216.52000427246094
2023-10-25,169.1180419921875,334.2225646972656,212.4199981689453
2023-10-26,164.95675659179688,321.6844177246094,205.75999450683594
2023-10-27,166.2713623046875,323.5680847167969,207.3000030517578
2023-10-30,168.3173828125,330.92608642578125,197.36000061035156
2023-10-31,168.79183959960938,331.7109680175781,200.83999633789062
2023-11-01,171.9547576904297,339.52032470703125,205.66000366210938
2023-11-02,175.5130615234375,341.7277526855469,218.50999450683594
2023-11-03,174.6037139892578,346.1229553222656,219.9600067138672
2023-11-06,177.15380859375,349.7823181152344,219.27000427246094
2023-11-07,179.7138214111328,353.7066650390625,222.17999267578125
2023-11-08,180.77142333984375,356.3261413574219,222.11000061035156
2023-11-09,180.2969970703125,353.8636474609375,209.97999572753906
